height,cfs
0.50,9000
1.00,18000
1.50,29000
2.00,38000
2.50,49000
3.00,58000
3.50,68000
4.00,79000
4.50,88000
5.00,98000
5.50,107000
6.00,117000
6.50,126000
7.00,135000
7.50,145000
8.00,154000
8.50,164000
9.00,172000
9.50,181000
10.00,190000
